idx,last_known_institution,last_known_institution_name
352765,https://openalex.org/I102101047,Roosevelt University
353659,https://openalex.org/I102117144,Banasthali University
356127,https://openalex.org/I102134673,Linköping University
375690,https://openalex.org/I10213569,Cape Breton University
376444,https://openalex.org/I102149020,University of North Carolina at Charlotte
386960,https://openalex.org/I102160568,International Commission on Missing Persons
387429,https://openalex.org/I102163072,PDK International
387449,https://openalex.org/I102179633,New School
390346,https://openalex.org/I102190016,University of New Caledonia
390995,https://openalex.org/I102197404,University of Paris-Sud
417030,https://openalex.org/I102208913,Shihezi University
434330,https://openalex.org/I102209117,Newbold College of Higher Education
434350,https://openalex.org/I102219622,Patrick Henry Community College
434361,https://openalex.org/I102239671,Hamdan Bin Mohammed Smart University
434491,https://openalex.org/I102245153,International Commission on Missing Persons
434581,https://openalex.org/I102248843,Vienna University of Economics and Business
436987,https://openalex.org/I102252114,New Jersey Department of Environmental Protection
437319,https://openalex.org/I102254642,University of Kirkuk
438147,https://openalex.org/I102262993,International Commission on Missing Persons
441327,https://openalex.org/I102272798,INSEAD
442311,https://openalex.org/I102298084,Andrews University
444658,https://openalex.org/I102318573,International Commission on Missing Persons
444711,https://openalex.org/I102322052,The Wistar Institute
448848,https://openalex.org/I102322142,"Rutgers, The State University of New Jersey"
515350,https://openalex.org/I102323517,Indiana Institute of Technology
515491,https://openalex.org/I10232997,L. N. Gumilyov Eurasian National University
518569,https://openalex.org/I102335020,Karlsruhe Institute of Technology
561117,https://openalex.org/I102345215,Xihua University
570338,https://openalex.org/I102347383,University of Palangka Raya
572845,https://openalex.org/I102373834,Bryn Mawr College
575087,https://openalex.org/I102379361,Charles University
580874,https://openalex.org/I102398690,National Natural Science Foundation of China
581711,https://openalex.org/I102401767,University of Arkansas at Little Rock
585467,https://openalex.org/I102420622,College of Saint Rose
585742,https://openalex.org/I102451721,Academy of Media Arts Cologne
585808,https://openalex.org/I10245363,Rajamangala University of Technology
587001,https://openalex.org/I102458738,University of Horticultural Sciences Bagalkote
587401,https://openalex.org/I102461120,Marquette University
598169,https://openalex.org/I102471911,Jiwaji University
599462,https://openalex.org/I102475099,Supélec
603709,https://openalex.org/I10248445,International Commission on Missing Persons
603858,https://openalex.org/I102499492,Logan University
604024,https://openalex.org/I102502594,Northern Illinois University
613569,https://openalex.org/I102507086,Oregon National Primate Research Center
615653,https://openalex.org/I102516824,University of Technology of Compiègne
621395,https://openalex.org/I102518490,Cañada College
621451,https://openalex.org/I102520234,TH Köln - University of Applied Sciences
623039,https://openalex.org/I102520776,International Commission on Missing Persons
623104,https://openalex.org/I102541696,International Commission on Missing Persons
623232,https://openalex.org/I102541862,International Commission on Missing Persons
623453,https://openalex.org/I102549367,Quincy College
623533,https://openalex.org/I102555177,Universitas Kristen Indonesia
625347,https://openalex.org/I102607778,Cleveland State University
631745,https://openalex.org/I102664891,W. L. Gore & Associates (Germany)
631977,https://openalex.org/I10266757,Harold Washington College
632010,https://openalex.org/I102669525,Pelita Harapan University
636539,https://openalex.org/I102688352,International Commission on Missing Persons
636643,https://openalex.org/I102716817,Valdosta State University
637928,https://openalex.org/I102736622,International Commission on Missing Persons
638368,https://openalex.org/I102743436,International Commission on Missing Persons
638494,https://openalex.org/I102782458,Chittagong University of Engineering & Technology
640218,https://openalex.org/I102786147,Dongseo University
640978,https://openalex.org/I102789319,International Commission on Missing Persons
641002,https://openalex.org/I102799917,International Commission on Missing Persons
641097,https://openalex.org/I102808428,Tbilisi State University
645352,https://openalex.org/I102822971,University of San Jose–Recoletos
645550,https://openalex.org/I102826571,Setsunan University
647642,https://openalex.org/I102834121,Purbanchal University
647891,https://openalex.org/I102839717,International Commission on Missing Persons
648830,https://openalex.org/I10285697,International Commission on Missing Persons
648862,https://openalex.org/I102857964,International Commission on Missing Persons
649507,https://openalex.org/I102882674,Beijing Institute of Fashion Technology
651467,https://openalex.org/I102893293,State University of Malang
669488,https://openalex.org/I102900740,International Commission on Missing Persons
670109,https://openalex.org/I102913810,Universiti Malaysia Pahang
677261,https://openalex.org/I102939073,State University of Ceará
685041,https://openalex.org/I1029533176,International Commission on Missing Persons
685069,https://openalex.org/I102962589,Atomic Energy Organization of Iran
686539,https://openalex.org/I103003218,International Commission on Missing Persons
