display_name,recipient,match_1,match_2,match_3,match_4,match_5,match_6,match_7,match_8,match_9,match_10
"('michael d geschwind', 'UNIVERSITY OF CALIFORNIA, SAN FRANCISCO')","['Michael D Geschwind', 'University of California, San Francisco']","['Michael D. Geschwind', 'University of California, San Francisco']","['Michael D. Geschwind', 'University of California, San Francisco']","['Michael Geschwind', 'University of California, San Francisco']",null,null,null,null,null,null,
"('GESSNER, BRADFORD DAVID', 'AMP SERVICES')",null,null,null,null,null,null,null,null,null,null,
"('jason e gestwicki', 'UNIVERSITY OF CALIFORNIA, SAN FRANCISCO')","['Jason E. Gestwicki', 'University of California, San Francisco']","['Jason E Gestwicki', 'University of California, San Francisco']","['Jason E. Gestwicki', 'University of California, San Francisco']","['Jason E Gestwicki', 'University of California, San Francisco']","['Jason E. Gestwicki', 'University of California, San Francisco']","['Jason E Gestwicki', 'University of California, San Francisco']","['Gestwicki, Jason', 'University of California, San Francisco']",null,null,null,
"('thomas w gettys', 'LSU PENNINGTON BIOMEDICAL RESEARCH CTR')","['Thomas W Gettys', 'Pennington Biomedical Research Center']","['Thomas W. Gettys', 'Pennington Biomedical Research Center']","['Thomas W. Gettys', 'Pennington Biomedical Research Center']","['Thomas W. Gettys', 'Pennington Biomedical Research Center']",null,null,null,null,null,null,
"('changiz geula', 'NORTHWESTERN UNIVERSITY AT CHICAGO')",null,null,null,null,null,null,null,null,null,null,
"('aron m geurts', 'MEDICAL COLLEGE OF WISCONSIN')","['Aron M Geurts', 'Medical College of Wisconsin']","['Aron M. Geurts', 'Medical College of Wisconsin']","['Aron M Geurts', 'Medical College of Wisconsin']","['Aron M. Geurts', 'Medical College of Wisconsin']","['Aron M. Geurts', 'Medical College of Wisconsin']","['Aron M Geurts', 'Medical College of Wisconsin']","['Aron M. Geurts', 'Medical College of Wisconsin']","['Aron M Geurts', 'Medical College of Wisconsin']","['Aron M Geurts', 'Medical College of Wisconsin']","['Aron M Geurts', 'Medical College of Wisconsin']",
"('olivier gevaert', 'STANFORD UNIVERSITY')","['Olivier Gevaert', 'Stanford University']","['Olivier Gevaert', 'Stanford University']","['Olivier Gevaert', 'Stanford University']","['Olivier Gevaert', 'Stanford University']","['Olivier Gevaert', 'Stanford University']","['Olivier Gevaert', 'Stanford University']","['A. Olivier Gevaert', 'Stanford University']","['Olivier Gavaert', 'Stanford University']",null,null,
"('leslie s gewin', 'VANDERBILT UNIVERSITY MEDICAL CENTER')","['Leslie Gewin', 'Vanderbilt University Medical Center']",null,null,null,null,null,null,null,null,null,
"('andrew t gewirtz', 'GEORGIA STATE UNIVERSITY')","['Andrew T Gewirtz', 'Georgia State University']","['Andrew T. Gewirtz', 'Georgia State University']","['Andrew T Gewirtz', 'Georgia State University']","['Andrew T. Gewirtz', 'Georgia State University']","['Andrew T Gewirtz', 'Georgia State University']","['Andrew Gewirtz', 'Georgia State University']",null,null,null,null,
"('mark a geyer', 'UNIVERSITY OF CALIFORNIA, SAN DIEGO')","['Mark A. Geyer', 'University of California, San Diego']","['Mark Geyer', 'University of California, San Diego']","['Mark Geyer', 'University of California, San Diego']","['Mark Geyer', 'University of California, San Diego']","['Mark Geyer', 'University of California, San Diego']",null,null,null,null,null,
